"name","@type","priceRange","url","streetAddress","addressLocality","addressRegion","postalCode","country","ratingValue","reviewCount","state"
"GRINGO STAR STREET BAR","FOODESTABLISHMENT","3 - 4","/RESTAURANT_REVIEW-G31377-D6538559-REVIEWS-GRINGO_STAR_STREET_BAR-TEMPE_ARIZONA.HTML","501 S MILL AVE STE 101","TEMPE","CENTRAL ARIZONA","85281-3622","UNITED STATES",3.5,15,"NY"
"SUSHI Q","FOODESTABLISHMENT","3 - 4","/RESTAURANT_REVIEW-G31310-D1092860-REVIEWS-SUSHI_Q-PHOENIX_ARIZONA.HTML","8841 N 19TH AVE","PHOENIX","CENTRAL ARIZONA","85021-4295","UNITED STATES",4.0,7,"NY"
"RUBIO'S","FOODESTABLISHMENT","1","/RESTAURANT_REVIEW-G31310-D479006-REVIEWS-RUBIO_S-PHOENIX_ARIZONA.HTML","4747 E BELL RD STE 17","PHOENIX","CENTRAL ARIZONA","85032-2301","UNITED STATES",4.0,37,"NY"
"RED ROCK CAFE","FOODESTABLISHMENT","3 - 4","/RESTAURANT_REVIEW-G31352-D1632950-REVIEWS-RED_ROCK_CAFE-SEDONA_ARIZONA.HTML","100 VERDE VALLEY SCHOOL RD STE 107 VILLAGE OF OAK CREEK BELL ROCK AREA NEXT TO WEBER'S IGA GROCERS","SEDONA","ARIZONA","86351-9055","UNITED STATES",4.5,1577,"NY"
"EL PORTAL SEDONA HOTEL","FOODESTABLISHMENT","3 - 4","/RESTAURANT_REVIEW-G31352-D4975740-REVIEWS-EL_PORTAL_SEDONA_HOTEL-SEDONA_ARIZONA.HTML","95 PORTAL LANE","SEDONA","ARIZONA","86336","UNITED STATES",4.0,68,"NY"
"RODOLFOS","FOODESTABLISHMENT","1","/RESTAURANT_REVIEW-G31357-D852220-REVIEWS-RODOLFOS-SIERRA_VISTA_ARIZONA.HTML","862 E FRY BLVD","SIERRA VISTA","ARIZONA","85635-2610","UNITED STATES",4.0,113,"NY"
"POSTINO","FOODESTABLISHMENT","3 - 4","/RESTAURANT_REVIEW-G31310-D3293685-REVIEWS-POSTINO-PHOENIX_ARIZONA.HTML","5144 N CENTRAL AVE","PHOENIX","CENTRAL ARIZONA","85012-1441","UNITED STATES",4.5,130,"NY"
"STEAK 44","FOODESTABLISHMENT","4","/RESTAURANT_REVIEW-G31310-D3839768-REVIEWS-STEAK_44-PHOENIX_ARIZONA.HTML","5101 N 44TH ST","PHOENIX","CENTRAL ARIZONA","85018-1623","UNITED STATES",4.5,430,"NY"
"PANDA EXPRESS","FOODESTABLISHMENT","3 - 4","/RESTAURANT_REVIEW-G31262-D4634315-REVIEWS-PANDA_EXPRESS-LAKE_HAVASU_CITY_ARIZONA.HTML","205 LAKE HAVASU AVE N","LAKE HAVASU CITY","ARIZONA","86403-5659","UNITED STATES",3.5,18,"NY"
"LITTLE CAESARS","FOODESTABLISHMENT","1","/RESTAURANT_REVIEW-G31234-D816410-REVIEWS-LITTLE_CAESARS-GOODYEAR_ARIZONA.HTML","406 N LITCHFIELD RD","GOODYEAR","ARIZONA","85338-1200","UNITED STATES",3.5,4,"NY"
"SHOGUN RESTAURANT","FOODESTABLISHMENT","3 - 4","/RESTAURANT_REVIEW-G31310-D472922-REVIEWS-SHOGUN_RESTAURANT-PHOENIX_ARIZONA.HTML","12615 N TATUM BLVD","PHOENIX","CENTRAL ARIZONA","85032-7710","UNITED STATES",4.0,67,"NY"
"PITA CAFE SCOTTSDALE","FOODESTABLISHMENT","1","/RESTAURANT_REVIEW-G31350-D4580465-REVIEWS-PITA_CAFE_SCOTTSDALE-SCOTTSDALE_ARIZONA.HTML","23535 N SCOTTSDALE RD #102","SCOTTSDALE","CENTRAL ARIZONA","85255-3402","UNITED STATES",4.5,29,"NY"
